Posted Date,Amount,Description
"Aug 1, 2009",-$15.28,WITHDRAWAL  @ 5812_BROCKWAY PUB CARMEL INUS  T race #585429
"Aug 1, 2009",-$28.83,WITHDRAWAL  @ 5942_BORDERS BOOKS 01000165 BO RDERS BOOKS 0100 INDIANAPOLIS INUS  Trace #62 9468
"Aug 1, 2009",-$21.36,WITHDRAWAL  @ 5311_MACY'S EAST #598 INDIANAP OLIS INUS  Trace #606531
"Aug 1, 2009",-$5.41,WITHDRAWAL  @ 5300_SAMS CLUB INDIANAPOLIS IN US  Trace #631135
"Aug 3, 2009",-$6.27,WITHDRAWAL  @ 5814_CHICK-FIL-A #00021 INDIA NAPOLIS INUS  Trace #809949
"Aug 3, 2009",-$2.29,WITHDRAWAL  @ 5814_GREAT AMERICAN COOK GREAT  AMERICAN COO INDIANAPOLIS INUS  Trace #84523 1
"Aug 3, 2009",-$1.99,WITHDRAWAL  @ 5735_Amazon Video On Demand Ama zon Video On De 866-216-1072 WAUS  Trace #8808 58
"Aug 3, 2009",-$7.13,WITHDRAWAL  @ 5542_SPEEDWAY 03352 140 FISHER S INUS  Trace #897566
"Aug 3, 2009",-$51.58,WITHDRAWAL  @ 5542_SPEEDWAY 03352 140 FISHER S INUS  Trace #925381
"Aug 3, 2009",-$15.86,WITHDRAWAL  @ 5814_JIMMY JOHN'S # 651 QPS JIMM Y JOHN'S # 651 INDIANAPOLIS INUS  Trace #55956 6
"Aug 3, 2009",-$51.51,WITHDRAWAL  @ 5411_MARSH #37 NOBLESVILLE INU S  Trace #991473
"Aug 4, 2009",-$12.41,WITHDRAWAL  @ 5411_MARSH #37 NOBLESVILLE INU S  Trace #154361
"Aug 4, 2009",-$107.44,WITHDRAWAL-ACH-A-IPAY P S I CINERGY (BILL PA YMT) 
"Aug 4, 2009",-$33.55,WITHDRAWAL-ACH-A-IPAY HAMILTON SOUTHEA (B ILL PAYMT) 
"Aug 4, 2009",-$35.93,WITHDRAWAL-ACH-A-IPAY INDIANA GAS (BILL PA YMT) 
"Aug 5, 2009",-$19.21,WITHDRAWAL  @ 5411_MEIJER INC #230 NOBLESVIL LE INUS  Trace #307980
"Aug 6, 2009",-$16.32,WITHDRAWAL  @ 5411_TARGET 00013508 TARGET 00 01 FISHERS INUS  Trace #510593
"Aug 6, 2009",-$12.19,WITHDRAWAL  @ 5814_CHICK-FIL-A #01487 INDIA NAPOLIS INUS  Trace #540988
"Aug 7, 2009",-$3.55,WITHDRAWAL  @ 5814_DAIRY QUEEN #40988 QPS DAI RY QUEEN #40988 FISHERS INUS  Trace #746045
"Aug 7, 2009",-$5.00,WITHDRAWAL  @ 5949_HANCOCK FABRICS 1430 HANC OCK FABRICS 14 CARMEL INUS  Trace #759354
"Aug 10, 2009",-$13.60,WITHDRAWAL  @ 5814_CHICK-FIL-A #01438 NOBLE SVILLE INUS  Trace #795412
"Aug 10, 2009",-$3.50,WITHDRAWAL  @ 5812_PINHEADS FISHERS INUS  Tra ce #222392
"Aug 10, 2009",-$28.57,WITHDRAWAL  @ 5411_MARSH #37 NOBLESVILLE INU S  Trace #339383
"Aug 10, 2009",-$29.48,WITHDRAWAL  @ 5814_DONATOS PIZZA #0144 DONAT OS PIZZA #014 FISHERS INUS  Trace #318132
"Aug 10, 2009",-$18.69,WITHDRAWAL  @ 5411_WM SUPERCENTER NOBLESVIL LE INUS  Trace #323930
"Aug 10, 2009",-$20.38,WITHDRAWAL  @ 5814_NOODLES ; COMPANY CARMEL I NUS  Trace #963186
"Aug 11, 2009",-$9.50,WITHDRAWAL  @ 7832_KEYSTONE 270 00002QPS KEY STONE 270 0000 INDIANAPOLIS INUS  Trace #1608 09
"Aug 12, 2009",-$20.04,WITHDRAWAL  @ 5541_NNG PETROLEUM LLC QPS NNG P ETROLEUM LLC FISHERS INUS  Trace #657738
"Aug 12, 2009",$30.00,DEPOSIT (Item #NFD) 
"Aug 13, 2009",-$20.00,WITHDRAWAL  @ 5542_NORA BP QPS NORA BP INDIANA POLIS INUS  Trace #833727
"Aug 13, 2009",-$29.13,WITHDRAWAL  @ 5945_HOBBY-LOBBY #0182 CARMEL  INUS  Trace #854617
"Aug 14, 2009",-$9.28,WITHDRAWAL  @ 5964_JCPENNEY STORE 2922 JCPEN NEY STORE 292 NOBLESVILLE INUS  Trace #691479 
